7000B158241,,Magee Campus,,55.0044762846992,-7.3217817014213,,,,
701000001,,Water Street,,54.9960686943561,-7.31732885231964,,,,
701000002,,Patrick Street,,54.9999799221629,-7.32267029056076,,,,
701000003,,Guild Hall,,54.9975166995346,-7.31919533637797,,,,
701000004,,Dungiven,,54.9250578570978,-6.92013363209514,,,,
701000006,,Drumahow Park & Ride,,54.9777991963681,-7.28083570965028,,,,
701000007,,Foyleside Coach Park,,54.9941010639017,-7.31733099979148,,,,
7010B158131,158131,Ulsterbus Depot,,54.9966287583853,-7.31786633503893,,,,
7010B158241,158241,Magee Campus,,55.0044762846992,-7.3217817014213,,,,
7010PB003857,,Ballymagrorty,,55.0334043455972,-7.35777175065622,,,,
702000000241,,Jury's Inn,,54.5962601620281,-5.93478299963656,,,,
702000001,,Belfast International Airport,,54.6624429322079,-6.21787736086132,,,,
702000015422,,Europa Bus Centre,,54.5950542821242,-5.93626793243424,,,,
7020IR0037,,Lisburn,,54.513863,-6.045132,,,,
7020IR2162,,Belfast,,54.595573,-5.917156,,,,
7040B107131,107131,Cullaville,,54.0620448123748,-6.64352516920916,,,,
7040B139481,139481,Newry,,54.1682530256848,-6.33909756269821,,,,
7040B139491,139491,Buttercrane SC,,54.1728714823796,-6.34099572245591,,,,
7040B139501,139501,Newry,,54.1728655758005,-6.34056705988029,,,,
7040B139511,139511,Newry (Opp Quay Shopping Centre),,54.16869222,-6.339018889,,,,
7040B139761,139761,Killeen Bridge,,54.1310086398583,-6.34608161234088,,,,
7040B139771,139771,Killeen Bridge,,54.131023085518,-6.34647889814698,,,,
7040B139781,139781,Meigh Cross,,54.1158843222512,-6.35728457153686,,,,
7040B139791,139791,Meigh Cross (Service Station),,54.11589222,-6.357278611,,,,
7040B150611,150611,Monaghan Street,,54.1768023042176,-6.34321285594727,,,,
7040B156051,156051,Newry,,54.1756160569634,-6.33995140976067,,,,
7040B156061,156061,Newry Bus Station,,54.1749986272411,-6.340145,,,,
7040IR0042,,Newry,,54.188659,-6.362413,,,,
7040IR0045,,Portadown,,54.424993,-6.445312,,,,
7040IR0090,,Lurgan,,54.467011,-6.338528,,,,
7050B108081,108081,Enniskillen,,54.3436944286399,-7.64007888696494,,,,
7050B140871,140871,Derrylin,,54.1933170593249,-7.56794116763396,,,,
7050B1409001,140901,Bellanaleck,,54.2950047241065,-7.63801510677572,,,,
7050B141541,141541,Belleek,,54.4761705959608,-8.09450198679982,,,,
7050B1415501,141551,Bellanaleck,,54.2950580826928,-7.63783030428049,,,,
7050B141561,141561,Derrylin,,54.1933796273301,-7.56784857395777,,,,
7050B630091,630091,Letterbreen,,54.3092870556637,-7.73268562828709,,,,
7050B630101,630101,Letterbreen,,54.3094925605682,-7.73216183422823,,,,
7050B6310001,631001,Belcoo,,54.296216555426,-7.87179252976785,,,,
7050B631071,631071,Loughview Drive,,54.297373889864,-7.8701144779675,,,,
7060000001,,Omagh,,54.6107018299583,-7.32331381356176,,,,
7060000002,,ASDA,,54.831483,-7.469682,,,,
706000002,,Beltony Road,,54.6130744032473,-7.3250083232675,,,,
706000003,,Beltony Road,,54.6130302578293,-7.32514838253169,,,,
706000006,,Toome,,54.7601994034523,-6.46093261430009,,,,
7060B152481,152481,Sion Mills,,54.7843117247012,-7.4716367976002,,,,
7060B156031,156031,Ballygawley,,54.456349,-7.033901,,,,
7060B157111,157111,Newtownstewart,,54.7218905194398,-7.37298186024223,,,,
7060B158031,158031,Ulsterbus Depot,,54.6016407291278,-7.30048124165798,,,,
7060B1581001,158101,Newtownstewart,,54.7217738838126,-7.37301470512109,,,,
7060B158121,158121,Bradley Way,,54.8265068781516,-7.47009002495236,,,,
7060B1581401,158141,Sion Mills,,54.785779358327,-7.47234836164944,,,,
7060B158181,158181,Canal Street,,54.8277460618064,-7.46378639704708,,,,
821000001,,Iona Drive,,52.839761,-6.919111,,,,
821000002,,Iona Drive,,52.839643,-6.91901,,,,
821000003,,Tullow Abbey Street,,52.8009859648035,-6.73963266966709,,,,
821000004,,Tullow Abbey Street,,52.8008918566571,-6.73923497055727,,,,
821000005,,Tyndall College,,52.8191407025419,-6.94494827409532,,,,
821000006,,Tyndall College,,52.8192149652133,-6.94521352940163,,,,
